query_id,content_id,hard_cots_qid,hard_negative_count
84_A,1568,"1065_C,1443_B,84_C,1425_D,1740_B,201_C,723_A,1246_B,709_C,98_B",10
1591_A,2450,"1784_D,1403_A,240_B,1036_D,1670_C,1670_D,1670_A,155_D,118_C,118_A",10
885_A,1877,"355_D,734_B,781_A,734_D,781_B,439_B,355_B,439_C,1558_D,1276_D",10
59_C,2206,"59_A,59_D,618_D,1650_C,1365_D,1112_A,815_B,595_A,1372_D,245_C",10
1193_C,2362,"1399_C,1193_D,1565_A,1565_B,253_D,1667_A,253_B,273_C,1087_C,1193_B",10
1558_D,551,"1414_C,1651_D,946_B,780_A,946_D,294_B,780_D,946_C,294_C,111_B",10
1137_B,1906,"1137_A,1137_D,1527_A,527_A,1527_B,310_D,527_B,905_A,706_D,197_C",10
976_D,2501,"976_B,976_C,766_C,766_B,219_C,546_D,62_A,62_D,913_D,801_C",10
610_D,1494,"610_C,68_C,452_C,460_C,74_C,1245_A,1021_B,65_B,160_C,1241_C",10
777_D,542,"1505_C,1546_B,44_B,1675_A,1573_B,1675_B,1573_D,1811_B,1573_A,1675_C",10
651_B,102,"223_C,363_C,128_C,30_C,1069_A,623_D,523_C,223_D,223_A,911_D",10
1376_A,302,"135_D,135_A,1117_D,730_B,1483_C,1592_B,100_B,1592_C,1253_C,54_C",10
1489_A,2050,"1426_B,1560_A,1560_C,1560_B,1426_A,1426_C,877_D,1487_D,955_A,1155_D",10
1565_A,309,"1193_C,273_B,688_A,1193_B,1667_A,253_D,253_B,1087_C,392_D,1087_D",10
1560_B,1422,"1560_A,1489_D,1560_C,1489_A,1426_B,1489_C,1487_D,1426_A,150_A,877_D",10
1827_B,2317,"1710_C,184_B,260_C,857_A,184_A,170_D,953_A,41_B,500_B,742_A",10
255_B,893,"255_D,107_A,1171_A,990_C,1171_B,990_B,202_B,450_A,535_D,1674_B",10
29_C,811,"29_A,29_D,1735_A,1637_B,177_B,732_B,432_C,1766_C,177_A,432_A",10
294_B,2104,"294_A,1414_B,294_C,808_D,1414_C,559_B,111_B,559_C,1334_C,1558_D",10
1656_A,1203,"1656_D,106_C,1616_A,106_A,1322_B,751_B,100_A,1759_C,1392_C,100_B",10
904_D,1250,"142_B,592_A,142_D,1072_D,1072_C,551_B,551_A,1467_C,279_A,1072_A",10
1483_C,249,"54_C,309_A,501_B,54_B,1592_C,1483_B,1592_B,786_A,730_A,1253_C",10
729_C,1543,"729_A,908_D,1220_A,176_C,792_D,137_A,98_B,723_A,908_B,908_C",10
1348_C,1882,"1209_C,1109_A,229_B,1209_D,581_D,1052_D,246_D,246_B,1419_A,1348_B",10
300_C,758,"300_B,420_D,1002_C,254_D,697_C,162_D,1328_A,1104_A,360_D,1857_C",10
219_C,1364,"219_B,1470_A,219_D,976_D,62_A,1330_C,766_C,1093_B,913_D,62_D",10
