query_id,content_id,hard_negatives,hard_negative_count
84_A,1568,"2301,642,2127,2113,1144,1304,2080,287,1285,1139",10
1591_A,2450,"2197,1788,2353,192,305,2388,648,396,867,910",10
885_A,1877,"226,926,551,1007,2355,561,2394,1851,1370,465",10
59_C,2206,"1601,1313,247,1965,2191,914,1710,2023,2112,531",10
1193_C,2362,"309,2121,100,48,2117,356,793,1707,725,2334",10
1558_D,551,"2421,1719,2452,106,1348,2493,85,2394,1370,1180",10
1137_B,1906,"2516,1942,1570,620,33,1669,2106,280,1363,1707",10
976_D,2501,"932,2180,714,997,2111,2166,1560,2024,1457,2297",10
610_D,1494,"922,807,882,49,868,868,1735,1044,1388,156",10
777_D,542,"309,2232,1483,1613,0,640,796,590,2394,280",10
651_B,102,"167,1670,1432,220,2048,2270,458,575,2389,2285",10
1376_A,302,"1955,1914,308,2238,249,1396,856,2023,914,2112",10
1489_A,2050,"1725,915,1167,1422,719,1183,2507,1065,686,1219",10
1565_A,309,"2121,426,2362,1483,356,1707,793,725,2334,51",10
1560_B,1422,"915,1725,1782,2050,1167,719,1183,996,1219,441",10
1827_B,2317,"834,713,672,2126,1720,81,2472,2376,1631,2284",10
255_B,893,"20,1492,1479,825,2484,986,1173,2034,1142,1624",10
29_C,811,"1214,1803,974,1400,38,1937,1219,1729,561,2278",10
294_B,2104,"294,570,1426,235,1509,270,1283,2394,789,527",10
1656_A,1203,"1445,2351,468,2331,1362,1879,924,248,635,1770",10
904_D,1250,"1188,921,2251,1290,1290,1703,2535,864,640,2521",10
1483_C,249,"659,2373,120,1316,2190,2190,856,1057,50,1128",10
729_C,1543,"1818,1266,2173,992,82,391,1219,2443,1308,2508",10
1348_C,1882,"2296,254,271,2489,478,713,1631,561,52,672",10
300_C,758,"197,1021,1489,2410,2457,561,857,377,1128,1485",10
219_C,1364,"1186,1264,2470,529,2069,2501,932,1560,953,377",10
779_A,109,"573,1079,257,1554,331,1610,519,1693,2215,266",10
822_C,1436,"2544,76,694,383,1832,1456,332,2508,2443,510",10
901_B,2519,"196,2209,68,1091,661,553,1311,1219,1773,536",10
698_D,317,"1280,1812,1980,1463,1914,2364,1575,1794,1563,1409",10
205_B,955,"1708,1334,189,2044,1814,1634,1403,1626,2431,2173",10
114_C,2131,"2256,974,871,911,220,2225,1153,74,373,315",10
1081_C,1519,"1784,300,275,1583,1939,1586,2060,1029,1488,2318",10
416_D,1150,"1846,787,804,276,1425,1940,499,1986,2100,561",10
1142_A,103,"978,1714,2114,2372,2131,1724,1012,1994,2248,1219",10
647_B,2082,"19,754,93,429,1774,349,937,44,1323,703",10
606_C,2017,"1012,1850,2316,2175,909,484,1881,2541,1032,2248",10
530_B,461,"2198,732,2426,1306,1966,1225,1225,2457,377,1998",10
