query_id,content_id,semi_negatives,semi_negative_count
84_A,1568,"88,1972,1835,136,57,95,1813,1512,1254,701",10
1591_A,2450,"840,50,793,843,1335,1746,584,571,372,1686",10
885_A,1877,"639,1283,793,2100,2421,294,1041,912,332,935",10
59_C,2206,"2271,1975,674,330,302,170,49,1759,2429,1999",10
1193_C,2362,"1202,465,625,615,1588,1818,135,673,2283,514",10
1558_D,551,"639,2072,141,1972,1815,0,686,927,374,194",10
1137_B,1906,"840,465,857,1939,287,97,2508,1882,644,625",10
976_D,2501,"2488,580,1197,1751,2375,2271,2126,1409,330,713",10
610_D,1494,"1017,465,2311,1610,1599,1562,483,742,1112,346",10
777_D,542,"2193,1069,8,459,639,773,1061,1588,2267,2121",10
651_B,102,"2022,2504,1134,107,520,1119,1181,1360,553,30",10
1376_A,302,"1292,791,1822,2172,353,2215,2368,2206,357,1881",10
1489_A,2050,"69,1814,1125,1229,1520,1729,2193,2356,1790,1835",10
1565_A,309,"1599,1202,2521,1763,615,367,426,943,1970,2530",10
1560_B,1422,"964,2383,1051,304,230,842,1229,1230,1881,1547",10
1827_B,2317,"1378,1887,727,2340,1576,1244,1485,2162,840,1402",10
255_B,893,"2021,1692,546,1894,1358,1,986,2170,1275,1599",10
29_C,811,"1432,14,2402,74,580,2148,1666,536,2113,1881",10
294_B,2104,"1007,1224,1087,1219,2236,2312,1999,1065,1773,1975",10
1656_A,1203,"2221,2031,1502,33,1279,444,1731,2074,1215,840",10
904_D,1250,"1440,323,927,542,1854,459,155,993,154,841",10
1483_C,249,"1548,2399,956,1659,2558,1978,1376,381,181,1637",10
729_C,1543,"1311,2267,1457,1765,2148,2370,851,1091,918,2083",10
1348_C,1882,"1908,2126,1982,908,210,2049,260,1824,1194,1427",10
300_C,758,"2151,1452,2458,1675,2124,1609,2272,1208,2212,687",10
219_C,1364,"1231,2519,312,1211,215,713,2327,123,1522,2153",10
779_A,109,"1311,2383,2408,1644,1417,170,2240,1593,52,930",10
822_C,1436,"283,790,1713,1733,1729,2380,2318,334,1108,43",10
901_B,2519,"791,2277,1205,79,1716,1128,580,33,1254,373",10
698_D,317,"260,553,2215,1057,1690,245,1900,954,1473,1648",10
205_B,955,"1035,1999,831,2252,786,1042,674,2258,519,1251",10
114_C,2131,"1682,2316,2350,94,1252,1543,2271,1044,1697,579",10
1081_C,1519,"745,705,635,1356,1543,1494,499,1067,62,2194",10
416_D,1150,"1012,808,2533,924,1728,1944,245,2163,2060,1820",10
1142_A,103,"25,569,132,1190,340,2215,2445,1943,2469,2227",10
647_B,2082,"1597,941,536,1185,2402,1881,58,524,1800,481",10
606_C,2017,"1325,2126,686,1230,1181,541,947,240,1971,2530",10
530_B,461,"831,399,50,589,2583,2158,781,2252,774,178",10
294_A,294,"1007,2421,2312,1087,2236,1975,1065,1999,534,1773",10
636_C,1402,"1435,1093,1981,1800,1379,45,2515,1905,380,2044",10
298_C,2085,"968,315,676,1181,1821,2264,1360,849,45,2252",10
1559_B,2312,"576,2302,2219,2156,1539,843,793,902,1719,595",10
1154_D,366,"516,73,1911,1606,1543,2148,79,1929,891,1628",10
287_D,1373,"403,2340,196,1894,2116,1322,1181,2552,2449,312",10
927_A,1522,"2252,887,330,2327,1978,390,696,1592,1879,2075",10
1064_D,233,"455,2065,1292,1942,1545,559,1729,2050,841,2311",10
141_A,82,"2502,536,2394,333,422,1485,196,1435,1029,337",10
1349_B,1268,"1139,688,170,481,403,391,1597,1887,636,2060",10
1372_D,308,"1729,1975,840,330,25,2271,1181,2510,111,1015",10
877_D,1782,"935,2551,1093,1741,2291,2402,1686,1311,230,336",10
1515_C,211,"2507,2267,889,851,1475,2037,2100,1390,1796,2491",10
178_A,2154,"1971,2272,1887,901,353,1881,2271,1125,1566,98",10
212_D,550,"2075,1219,753,934,1135,2365,2167,2035,510,742",10
1750_B,27,"2552,1429,1358,1015,1134,907,1223,30,2422,1048",10
1620_C,736,"1111,755,947,1078,536,2221,840,2530,1378,1941",10
307_D,1354,"30,1894,2532,2183,1941,1125,1219,939,1387,158",10
397_B,134,"889,182,992,1879,1187,1179,991,1999,2100,83",10
829_C,1639,"2519,923,240,891,1091,1941,1284,310,840,2271",10
761_C,2094,"967,30,1387,2518,2422,965,1791,420,312,245",10
192_C,1379,"2395,857,1033,1609,2349,1634,579,2055,1905,2100",10
435_D,1400,"30,974,1939,314,536,481,1214,60,1814,1244",10
1347_B,997,"442,60,343,1599,1939,953,221,1049,2311,696",10
982_D,2262,"371,1152,1515,427,946,2356,774,202,986,69",10
1845_D,524,"2422,77,499,2017,673,615,674,1882,525,1894",10
1748_B,268,"1281,1007,1550,1836,2365,2025,1565,1238,2370,87",10
1462_B,1881,"1230,2126,688,536,1942,2586,465,1887,2532,699",10
954_B,2203,"1241,840,1485,1231,2035,1332,1525,286,358,2258",10
768_C,1533,"1460,884,958,1378,90,1908,1227,1708,2395,619",10
304_D,2532,"1311,2001,1566,774,1408,1354,403,1190,536,516",10
210_D,1379,"736,2158,874,941,1727,25,1377,435,1435,2092",10
94_D,290,"807,1971,753,484,1408,969,1097,1251,1254,2403",10
1762_B,1269,"356,639,1599,1012,599,1779,1729,185,2158,1877",10
467_B,1302,"475,2420,1975,1692,1371,147,111,512,2238,2428",10
976_C,932,"2519,2488,580,1751,2271,2126,330,2375,1533,1387",10
518_A,2499,"1763,1283,374,1790,1906,2059,2521,1661,2365,1252",10
183_D,1252,"305,787,372,2009,579,1279,304,71,635,1882",10
273_B,2362,"591,514,2113,1917,141,2443,2580,1194,927,5",10
376_A,2143,"2187,727,1278,45,1421,14,621,52,2173,2175",10
898_D,1471,"286,1814,1031,336,303,1751,2200,959,334,1274",10
721_A,739,"2303,2044,1988,1078,2148,781,2009,1435,1051,1729",10
184_A,2126,"315,1925,1125,1293,1135,108,1378,142,2158,2109",10
109_A,384,"2291,460,383,2292,1020,2113,1868,1111,1691,1389",10
200_C,2549,"857,871,46,271,266,1751,1184,14,2175,2408",10
1259_C,656,"1244,791,2408,2317,362,6,1644,1078,568,1562",10
1410_B,732,"2110,60,1887,1999,45,1981,1971,1103,815,1387",10
1472_C,1078,"2533,1244,1403,1800,2532,1514,2217,969,1937,2001",10
572_D,1988,"1981,779,1244,2515,2305,761,1404,1673,1105,2158",10
729_A,1818,"2148,1776,1311,22,2060,851,1091,918,2370,1972",10
475_B,2389,"831,1458,2402,256,484,2586,2272,200,2504,1900",10
1359_D,1229,"867,313,1586,2522,1972,725,1340,1854,43,1097",10
815_B,2138,"372,2429,2215,1529,1282,1579,69,310,2173,1759",10
1426_B,1167,"410,1685,1870,1266,1282,1244,1881,449,2541,304",10
78_D,2397,"996,2050,1112,2490,982,709,549,1844,1194,85",10
1769_A,1176,"2267,943,2031,2266,773,591,2218,309,2236,1281",10
1800_B,496,"2222,761,2271,1937,2227,285,2264,2254,2009,301",10
1748_C,1139,"1007,1550,1836,1939,1238,2025,1281,2370,2336,87",10
1319_C,2494,"25,256,1636,2376,1672,413,945,315,834,2085",10
1616_A,468,"840,465,1538,1881,2031,2113,867,1057,1202,1842",10
237_B,2256,"2408,636,1672,2505,871,520,2027,240,792,356",10
1233_D,670,"44,2109,1473,755,511,1696,2158,857,1082,2402",10
472_C,585,"2232,2009,512,1896,2221,1607,972,883,2424,1003",10
1621_D,1389,"1461,410,271,1997,219,591,569,1931,992,2516",10
1816_B,2035,"1183,1529,2187,1378,2126,1016,1999,388,50,739",10
1159_A,558,"482,1720,2228,1032,1179,2384,1049,703,1164,2291",10
1038_C,1179,"1400,403,1057,1408,1024,566,2252,196,1525,312",10
1295_A,2160,"613,2422,1632,1078,2402,1549,579,674,340,2469",10
46_D,31,"1631,1091,1570,762,1971,1949,1254,1324,891,1078",10
878_C,2402,"1941,1282,1729,1435,2100,2200,301,2469,330,1359",10
62_A,1068,"2518,1894,123,1179,221,1244,1729,2166,390,2252",10
1229_A,1792,"1894,1566,2009,1795,964,1012,878,1093,25,2227",10
1444_B,2251,"1279,2499,2495,410,2341,927,943,814,235,465",10
665_B,1318,"1654,764,235,1282,2161,2488,895,1097,1851,270",10
220_D,36,"33,637,498,2318,1970,1212,1229,1271,134,175",10
412_C,1132,"1707,2311,2390,52,2023,742,2092,329,196,1244",10
243_D,811,"1494,1983,1666,1881,2277,74,1751,759,30,2148",10
1223_A,68,"136,1728,2148,879,1388,1091,1277,2475,60,315",10
322_C,1035,"202,733,2172,1204,1908,567,2431,2405,58,2136",10
93_B,224,"1593,891,835,1421,1834,1721,1000,1987,2500,1908",10
476_B,329,"353,1621,1773,609,956,1852,1978,2308,760,1692",10
286_B,1418,"493,1004,1243,888,1542,1046,777,2272,1729,403",10
1590_B,556,"68,1978,851,1183,333,271,2354,1584,182,1325",10
113_A,1805,"2271,1214,2148,2479,2221,94,2567,1610,2408,580",10
1379_A,1205,"315,947,141,1887,941,244,2139,552,119,1378",10
307_B,2220,"1078,2498,2183,1941,2009,995,1179,1111,1119,536",10
382_B,74,"2518,1432,1597,941,1610,878,1128,674,1400,334",10
939_C,2386,"1318,413,976,523,945,68,699,1644,1939,2586",10
99_A,545,"1599,307,2009,2100,2408,814,1015,1984,1295,2311",10
206_D,2417,"435,2110,423,482,330,2489,2583,2408,1614,420",10
994_C,1272,"587,1861,1355,2562,72,1128,1632,544,1637,1124",10
1623_A,1982,"1067,1731,1839,1003,900,1842,1773,392,1555,2492",10
517_A,1533,"835,2541,791,202,60,857,2000,447,1729,674",10
534_A,2566,"240,1196,136,908,1814,2519,98,580,954,1610",10
473_B,2395,"2033,210,567,755,1729,424,699,1383,2469,1282",10
1647_D,1875,"1734,1078,58,1246,347,1245,2009,1294,894,1400",10
1757_B,1552,"939,2384,703,1942,212,1435,346,2252,2518,947",10
659_B,1907,"1881,2189,1176,1741,236,2516,1325,248,1007,840",10
507_B,1316,"2530,1400,2277,569,1900,1709,2113,1983,1275,1274",10
393_D,2555,"1176,1112,1169,612,840,459,262,1302,530,649",10
1305_D,49,"2271,1000,1972,874,580,2382,280,1796,635,851",10
623_D,931,"519,791,516,1971,1410,908,2586,45,1024,1093",10
1516_B,526,"1517,2074,2541,901,1867,2009,486,1093,839,1253",10
1034_A,1957,"1378,1125,2267,2172,1538,1887,22,240,831,2253",10
1210_C,1813,"764,2289,499,2373,2454,2365,2508,1868,1611,1224",10
1651_D,1370,"1931,2156,2486,204,1199,1509,396,635,639,1815",10
211_D,1632,"58,2344,744,1820,2308,1538,403,1601,1914,1939",10
1079_B,2017,"1571,1894,25,674,1325,1044,1642,2020,68,2349",10
1409_B,498,"1999,1478,60,1152,1819,1538,835,170,2221,2248",10
553_A,1128,"93,541,888,538,202,2398,820,353,2408,722",10
942_D,1537,"280,525,2324,1939,2106,2240,1448,1942,2443,2508",10
1283_B,784,"2162,441,588,996,2002,1424,1887,1169,1282,1529",10
1363_A,2531,"1685,1284,449,2397,450,2100,18,627,721,2560",10
1745_B,423,"1881,85,1219,2241,476,1683,157,2193,1907,253",10
555_D,1678,"2175,45,1972,2086,356,312,1181,2415,1051,2490",10
818_C,760,"1134,1881,1692,58,2021,674,840,2344,1751,697",10
320_B,1953,"2105,1229,1954,1634,2193,515,1741,841,902,1908",10
389_D,1631,"2422,1022,2252,1943,673,271,1702,315,977,2183",10
354_D,1444,"1244,1576,183,536,793,2158,580,969,2449,2422",10
294_C,570,"1007,2189,1087,2312,2236,1065,1999,2218,1975,1219",10
844_A,1706,"1686,1741,1683,808,2105,1219,1985,695,0,660",10
1095_C,1571,"2422,1231,1894,874,536,1190,779,1936,68,580",10
1478_D,2269,"642,469,1565,638,1943,1631,1071,1851,1906,1214",10
679_C,1447,"447,677,1206,419,72,372,2122,2273,791,2009",10
45_C,2085,"1894,244,1672,727,31,484,553,2532,1254,138",10
254_D,491,"1586,2198,1323,1522,45,2075,568,352,679,1981",10
1443_B,2301,"992,1584,1835,1813,1893,95,1254,444,1972,930",10
165_B,1319,"2422,908,891,1190,403,1722,1266,2001,2175,1887",10
1092_C,2427,"2187,1015,1586,589,1302,1840,1315,41,60,1244",10
1155_D,1103,"2200,314,1078,580,1894,1128,2100,587,2096,1982",10
669_A,1550,"1505,8,669,1985,2516,476,584,1882,545,141",10
1103_B,55,"2250,2253,1766,2151,2184,1279,1999,1435,68,1971",10
1464_B,2032,"283,2113,1285,2318,2315,1949,1777,1435,1727,332",10
1464_A,2437,"332,2113,1285,561,2315,1772,283,2318,1037,1777",10
992_D,1204,"1692,2361,2154,2481,90,659,1482,1404,2133,1057",10
1594_A,977,"255,83,1325,2158,1882,1837,1426,2336,1686,1907",10
1592_C,659,"2558,2408,2172,744,1841,2021,1549,475,2173,1429",10
266_B,1807,"1088,546,1599,493,1916,749,2223,1104,1323,2350",10
978_B,2352,"2136,964,444,2469,902,481,1134,1057,1251,734",10
3_B,1180,"2516,1721,1815,1194,1238,241,355,635,875,1202",10
1436_A,1810,"1978,2106,630,11,420,1868,2324,128,1494,25",10
357_B,1680,"1429,2008,1378,2504,2258,1597,73,2532,1078,1284",10
430_C,1294,"1868,2465,2586,81,1584,471,1541,195,1972,1475",10
1196_C,1735,"3,471,483,2271,930,1971,742,1049,1543,1130",10
1358_A,1452,"722,1429,202,1881,371,735,296,435,2552,1183",10
501_B,843,"2283,1814,1840,1578,357,2194,403,2383,840,465",10
314_C,1046,"115,447,662,677,2009,170,1734,2221,2273,72",10
1429_D,2428,"1382,2065,1846,2291,2356,444,1908,1799,435,1018",10
544_D,226,"271,2365,35,2424,1612,2232,2014,1543,773,2072",10
360_D,1225,"499,2541,840,855,60,45,831,1587,1315,22",10
992_A,619,"1128,1692,659,2361,2481,1404,1482,2133,2154,1637",10
443_C,421,"302,2215,1960,51,156,464,646,2072,1802,686",10
119_B,1400,"2001,1244,2530,1578,245,231,736,2165,2399,1881",10
1732_C,1939,"2383,579,1941,959,2518,1119,2387,2148,1134,2248",10
439_B,1007,"356,785,1308,740,2373,2518,563,2432,332,1599",10
374_B,860,"2355,28,2365,35,97,2031,840,785,2362,2336",10
443_B,421,"156,2267,2072,2151,902,464,1802,1960,1012,2215",10
330_B,29,"606,986,1637,1274,120,684,1282,1143,1152,2100",10
581_D,2489,"1164,444,1672,2291,2100,1783,535,2075,1525,1370",10
757_A,1948,"340,45,891,1942,1388,1049,1944,1908,444,195",10
1365_D,1601,"2503,2510,674,49,2548,372,566,1424,1300,2173",10
802_C,1566,"1164,1692,1429,579,1184,50,2148,891,947,1044",10
388_B,2412,"2200,587,901,1632,2126,1954,1408,1219,1124,937",10
1004_B,1074,"1125,774,475,1070,170,2428,455,1761,2327,1560",10
150_C,1520,"1370,990,403,661,1422,1093,1954,2130,839,2529",10
524_B,2230,"30,687,1209,499,831,1494,334,2340,1093,2518",10
741_D,68,"60,569,483,1666,1134,1128,1146,1091,1814,1092",10
